sku_id,date,actual,forecast
SKU001,2025-10-19,144,134.72
SKU001,2025-10-26,96,142.24
SKU001,2025-11-02,168,140.51
SKU001,2025-11-09,146,134.51
SKU001,2025-11-16,172,137.45
SKU001,2025-11-23,130,139.42
SKU001,2025-11-30,138,141.48
SKU001,2025-12-07,156,137.08
SKU001,2025-12-14,147,136.66
SKU001,2025-12-21,206,147.03
SKU001,2025-12-28,102,147.13
SKU001,2026-01-04,44,141.33
SKU002,2025-10-19,97,138.97
SKU002,2025-10-26,97,127.52
SKU002,2025-11-02,143,150.43
SKU002,2025-11-09,153,145.15
SKU002,2025-11-16,129,144.33
SKU002,2025-11-23,192,137.87
SKU002,2025-11-30,148,139.36
SKU002,2025-12-07,113,146.29
SKU002,2025-12-14,137,135.77
SKU002,2025-12-21,140,150.5
SKU002,2025-12-28,156,127.89
SKU002,2026-01-04,91,141.4
SKU003,2025-10-19,80,116.1
SKU003,2025-10-26,113,146.04
SKU003,2025-11-02,138,132.88
SKU003,2025-11-09,149,134.79
SKU003,2025-11-16,142,130.76
SKU003,2025-11-23,149,157.58
SKU003,2025-11-30,115,148.31
SKU003,2025-12-07,142,137.85
SKU003,2025-12-14,117,134.26
SKU003,2025-12-21,147,126.65
SKU003,2025-12-28,142,147.22
SKU003,2026-01-04,57,136.61
SKU004,2025-10-19,169,130.66
SKU004,2025-10-26,175,134.89
SKU004,2025-11-02,124,137.83
SKU004,2025-11-09,181,145.92
SKU004,2025-11-16,173,136.6
SKU004,2025-11-23,141,144.41
SKU004,2025-11-30,105,144.8
SKU004,2025-12-07,169,137.65
SKU004,2025-12-14,125,142.92
SKU004,2025-12-21,182,144.26
SKU004,2025-12-28,139,148.37
SKU004,2026-01-04,74,135.77
SKU005,2025-10-19,139,135.62
SKU005,2025-10-26,104,129.32
SKU005,2025-11-02,154,140.46
SKU005,2025-11-09,165,136.75261904761908
SKU005,2025-11-16,107,136.12
SKU005,2025-11-23,178,145.03
SKU005,2025-11-30,165,135.23
SKU005,2025-12-07,136,138.64
SKU005,2025-12-14,146,138.52
SKU005,2025-12-21,110,143.85
SKU005,2025-12-28,110,145.25
SKU005,2026-01-04,48,123.834
SKU006,2025-10-19,146,145.89
SKU006,2025-10-26,126,144.99
SKU006,2025-11-02,147,141.61
SKU006,2025-11-09,86,138.96
SKU006,2025-11-16,174,142.51
SKU006,2025-11-23,118,143.7
SKU006,2025-11-30,140,135.08
SKU006,2025-12-07,126,136.46
SKU006,2025-12-14,142,140.57
SKU006,2025-12-21,127,136.47
SKU006,2025-12-28,121,142.49
SKU006,2026-01-04,57,143.89
SKU007,2025-10-19,100,149.93
SKU007,2025-10-26,97,135.72
SKU007,2025-11-02,137,147.32
SKU007,2025-11-09,144,144.05
SKU007,2025-11-16,163,137.27
SKU007,2025-11-23,175,130.57
SKU007,2025-11-30,153,141.69
SKU007,2025-12-07,120,139.2
SKU007,2025-12-14,161,136.3
SKU007,2025-12-21,134,140.53
SKU007,2025-12-28,162,148.04
SKU007,2026-01-04,54,134.4
SKU008,2025-10-19,161,138.4
SKU008,2025-10-26,153,128.34
SKU008,2025-11-02,146,137.35
SKU008,2025-11-09,120,147.19
SKU008,2025-11-16,176,134.61
SKU008,2025-11-23,190,136.4
SKU008,2025-11-30,159,138.83
SKU008,2025-12-07,137,143.11
SKU008,2025-12-14,129,141.89
SKU008,2025-12-21,172,148.87
SKU008,2025-12-28,169,141.77
SKU008,2026-01-04,55,135.72
SKU009,2025-10-19,141,135.39
SKU009,2025-10-26,140,147.68
SKU009,2025-11-02,137,132.47
SKU009,2025-11-09,126,136.26
SKU009,2025-11-16,179,144.09
SKU009,2025-11-23,127,136.09
SKU009,2025-11-30,175,146.81
SKU009,2025-12-07,130,145.51
SKU009,2025-12-14,105,141.24
SKU009,2025-12-21,127,135.26
SKU009,2025-12-28,146,138.46
SKU009,2026-01-04,76,128.52
SKU010,2025-10-19,117,141.65
SKU010,2025-10-26,157,137.48
SKU010,2025-11-02,158,146.37
SKU010,2025-11-09,125,139.08
SKU010,2025-11-16,84,134.94
SKU010,2025-11-23,188,148.63
SKU010,2025-11-30,158,133.77
SKU010,2025-12-07,127,145.55
SKU010,2025-12-14,125,150.29
SKU010,2025-12-21,103,132.78
SKU010,2025-12-28,141,144.91
SKU010,2026-01-04,55,137.54
SKU011,2025-10-19,149,142.99
