date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,safety_stock,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_4_weeks,avg_weekly_forecast,lead_time_weeks,lead_time_demand,available_inventory,stockout_gap,stockout_risk,overstock_threshold,overstock_risk,cv,action,category,subcategory,unit_cost,list_price,stock_ratio,sales_at_risk
2025-12-31,SKU335,118,102,7,51,22,124.365,147.38,142.06,146.59,560.395,140.09875,1.0,140.09875,220,-79.90125,LOW,840.5925,LOW,0.2500554311244825,HEALTHY,Dining,Tray,6757,10811,0.21056576165026455,0.0
2025-12-31,SKU332,448,128,7,78,52,154.29,119.715,149.935,136.75,560.69,140.1725,1.0,140.1725,576,-435.8275,LOW,841.0350000000001,LOW,0.2559396691239061,HEALTHY,Dining,Cutlery,6916,11065,0.7990154987604557,0.0
2025-12-31,SKU333,498,75,10,94,46,130.855,151.0,135.935,146.36,564.1500000000001,141.03750000000002,1.4285714285714286,201.4821428571429,573,-371.5178571428571,LOW,846.2250000000001,LOW,0.3373659895761393,WATCH/VOLATILE,Dining,Bottle,6485,10376,0.8827439510768411,0.0
2025-12-31,SKU334,39,63,10,37,19,150.24,138.205,143.995,135.63,568.07,142.0175,1.4285714285714286,202.88214285714287,102,100.88214285714288,HIGH,852.105,LOW,0.2523675015013837,REORDER NOW,Dining,Bottle,6789,10862,0.06865351101096695,1095781.835714286
2025-12-31,SKU336,367,114,10,31,23,134.865,143.88,146.34,144.185,569.27,142.3175,1.4285714285714286,203.31071428571428,481,-277.6892857142857,LOW,853.905,LOW,0.3286724958366582,HEALTHY,Dining,Bottle,1594,2550,0.6446852987158993,0.0
2025-12-31,SKU342,94,4,7,105,50,143.075,140.415,134.39,152.925,570.8050000000001,142.70125000000002,1.0,142.70125000000002,98,44.701250000000016,HIGH,856.2075000000001,LOW,0.3059412812199227,REORDER NOW,Dining,Dinner Set,5030,8048,0.16467970672996907,359755.66000000015
2025-12-31,SKU338,309,136,10,53,25,135.415,141.53,133.13,147.025,557.1,139.275,1.4285714285714286,198.9642857142857,445,-246.03571428571428,LOW,835.6500000000001,LOW,0.3122492971500107,HEALTHY,Dining,Cutlery,7828,12524,0.5546580506192784,0.0
2025-12-31,SKU339,149,10,5,37,38,138.83,140.295,149.97,137.55,566.645,141.66125,0.7142857142857143,101.18660714285714,159,-57.81339285714286,LOW,849.9675,LOW,0.2180896270553418,HEALTHY,Dining,Tray,610,976,0.26295123048822455,0.0
2025-12-31,SKU340,70,140,14,94,30,133.965,133.215,134.69,145.755,547.625,136.90625,2.0,273.8125,210,63.8125,HIGH,821.4375,LOW,0.2951614346639534,REORDER NOW,Dining,Cutlery,7887,12619,0.12782469755763523,805249.9375
2025-12-31,SKU341,46,51,10,68,24,149.125,141.72,137.06,143.95,571.855,142.96375,1.4285714285714286,204.23392857142855,97,107.23392857142858,HIGH,857.7825,LOW,0.2653876615387445,REORDER NOW,Dining,Tray,4769,7630,0.0804399716711404,818194.875
2025-12-31,SKU316,383,34,7,58,49,129.635,136.3,130.725,151.46,548.12,137.03,1.0,137.03,417,-279.97,LOW,822.1800000000001,LOW,0.2541269345547873,HEALTHY,Dining,Tray,550,880,0.6987520980807123,0.0
2025-12-31,SKU337,283,17,7,53,10,133.39,140.435,140.555,157.075,571.4549999999999,142.86374999999998,1.0,142.86374999999998,300,-157.13625000000002,LOW,857.1824999999999,LOW,0.3497611557330544,WATCH/VOLATILE,Dining,Bottle,4308,6892,0.4952270957468218,0.0
2025-12-31,SKU331,272,120,14,99,37,129.715,137.595,128.335,141.165,536.81,134.2025,2.0,268.405,392,-123.59500000000004,LOW,805.2149999999999,LOW,0.3008617504242908,HEALTHY,Dining,Dinner Set,6486,10377,0.5066969691324678,0.0
2025-12-31,SKU324,320,118,5,50,20,136.58,143.29,149.89,147.045,576.805,144.20125,0.7142857142857143,103.00089285714284,438,-334.9991071428572,LOW,865.2075,LOW,0.3093647841382451,HEALTHY,Dining,Dinner Set,8000,12800,0.5547802116833246,0.0
2025-12-31,SKU329,225,136,7,104,49,145.055,142.875,142.94,146.25,577.12,144.28,1.0,144.28,361,-216.72,LOW,865.6800000000001,LOW,0.3003827345367514,HEALTHY,Dining,Dinner Set,756,1209,0.389866925422789,0.0
2025-12-31,SKU328,83,135,5,106,21,134.35,132.305,134.835,149.045,550.535,137.63375,0.7142857142857143,98.30982142857142,218,-119.69017857142858,LOW,825.8025,LOW,0.2309606655830771,HEALTHY,Dining,Cutlery,967,1547,0.15076244017183285,0.0
2025-12-31,SKU327,395,22,3,37,15,133.95,141.135,136.085,146.53,557.6999999999999,139.42499999999998,0.4285714285714285,59.75357142857142,417,-357.24642857142857,LOW,836.55,LOW,0.2474353941623268,HEALTHY,Dining,Dinner Set,7328,11724,0.7082660928814776,0.0
2025-12-31,SKU326,468,150,5,70,21,159.54,138.065,139.05,139.525,576.1800000000001,144.04500000000002,0.7142857142857143,102.88928571428572,618,-515.1107142857143,LOW,864.2700000000001,LOW,0.2978883197582948,HEALTHY,Dining,Cutlery,2093,3348,0.8122461730709153,0.0
2025-12-31,SKU325,71,48,3,119,23,132.43,130.28,124.635,133.5,520.845,130.21125,0.4285714285714285,55.80482142857143,119,-63.19517857142857,LOW,781.2675,LOW,0.2062800825806181,HEALTHY,Dining,Tray,3580,5728,0.13631694650039838,0.0
2025-12-31,SKU323,376,63,14,81,26,136.485,144.26,149.13,137.885,567.76,141.94,2.0,283.88,439,-155.12,LOW,851.64,LOW,0.2186411047150077,HEALTHY,Dining,Tray,3108,4972,0.6622516556291391,0.0
2025-12-31,SKU322,67,134,3,114,15,147.45,140.4,130.915,157.795,576.56,144.14,0.4285714285714285,61.7742857142857,201,-139.2257142857143,LOW,864.8399999999999,LOW,0.3151463375404678,HEALTHY,Dining,Tray,2708,4332,0.11620646593589566,0.0
2025-12-31,SKU321,39,36,3,51,26,148.495,133.775,137.95,149.845,570.0649999999999,142.51625,0.4285714285714285,61.078392857142845,75,-13.921607142857155,LOW,855.0974999999999,LOW,0.2718959598114818,HEALTHY,Dining,Tray,7914,12662,0.06841325112048627,0.0
2025-12-31,SKU320,485,110,7,105,21,138.94,143.51,140.13,145.67,568.25,142.0625,1.0,142.0625,595,-452.9375,LOW,852.375,LOW,0.3973139486926185,WATCH/VOLATILE,Dining,Bottle,5351,8561,0.8534975802903652,0.0
2025-12-31,SKU319,448,83,3,44,30,139.655,138.395,141.985,163.15,583.1850000000001,145.79625,0.4285714285714285,62.48410714285715,531,-468.5158928571428,LOW,874.7775000000001,LOW,0.3092676849763431,HEALTHY,Dining,Glass Set,2724,4358,0.7681953411010227,0.0
2025-12-31,SKU318,311,120,7,90,27,147.96,145.285,142.475,140.7,576.4200000000001,144.10500000000002,1.0,144.10500000000002,431,-286.895,LOW,864.6300000000001,LOW,0.2083671267827204,HEALTHY,Dining,Tray,3799,6078,0.5395371430554109,0.0
2025-12-31,SKU317,338,115,5,86,31,137.435,135.545,139.3,166.215,578.495,144.62375,0.7142857142857143,103.30267857142856,453,-349.6973214285714,LOW,867.7425000000001,LOW,0.3304297230426466,HEALTHY,Dining,Glass Set,1772,2835,0.5842747128324359,0.0
2025-12-31,SKU343,92,114,14,78,35,131.075,136.075,146.045,142.12,555.3149999999999,138.82875,2.0,277.6575,206,71.65749999999997,HIGH,832.9724999999999,LOW,0.2499338426749881,REORDER NOW,Dining,Tray,5031,8049,0.1656717358616281,576771.2174999998
2025-12-31,SKU330,419,70,14,104,50,143.605,135.435,130.695,144.93,554.665,138.66625,2.0,277.3325,489,-211.6675,LOW,831.9975,LOW,0.3094850647117735,HEALTHY,Dining,Bottle,7394,11830,0.7554109237107083,0.0
2025-12-31,SKU344,66,72,7,89,41,144.78,141.75,131.88,146.715,565.125,141.28125,1.0,141.28125,138,3.28125,HIGH,847.6875,LOW,0.176707943736391,REORDER NOW,Dining,Bottle,7471,11953,0.11678832116788321,39220.78125
2025-12-31,SKU358,46,119,5,102,11,135.375,146.185,143.335,147.15,572.045,143.01125,0.7142857142857143,102.15089285714284,165,-62.84910714285715,LOW,858.0674999999999,LOW,0.3398432166342354,WATCH/VOLATILE,Bathroom,Towel,6378,10204,0.08041325420202956,0.0
2025-12-31,SKU346,402,83,5,52,28,139.91,136.475,144.005,147.84,568.23,142.0575,0.7142857142857143,101.46964285714286,485,-383.5303571428572,LOW,852.345,LOW,0.2871524106528754,HEALTHY,Dining,Dinner Set,6139,9822,0.7074600073913732,0.0
2025-12-31,SKU315,426,77,10,98,50,151.365,139.345,142.475,144.29,577.475,144.36875,1.4285714285714286,206.24107142857144,503,-296.75892857142856,LOW,866.2125000000001,LOW,0.3024886934766783,HEALTHY,Dining,Dinner Set,4483,7172,0.7376942724793281,0.0
