sku_id,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4
SKU001,136.955,142.79,147.485,150.61
SKU002,150.51,132.29,142.36,146.725
SKU003,139.35,135.115,143.285,150.26
SKU004,142.87,131.5,125.65,135.35
SKU005,147.6,142.235,146.425,140.48
SKU006,137.455,142.36,135.94,146.13
SKU007,139.265,132.325,144.03,152.76
SKU008,141.405,137.45,140.64,147.775
SKU009,147.935,142.015,132.8,146.04
SKU010,144.205,138.775,130.975,152.68
SKU011,141.045,138.17,149.275,147.22
SKU012,136.28,137.875,139.31,166.1
SKU013,140.335,135.37,129.215,147.995
SKU014,138.175,129.73,135.685,148.04
SKU015,127.015,144.995,137.65,146.09
SKU016,126.785,130.145,145.58,135.405
SKU017,143.125,137.97,142.73,142.795
SKU018,132.675,123.96,136.48,142.745
SKU019,126.52,139.45,126.585,149.655
SKU020,146.285,130.255,135.05,150.32
SKU021,139.225,133.26,141.3,156.93
SKU022,144.24,139.56,148.08,142.97
SKU023,142.775,137.805,132.195,143.4
SKU024,129.855,132.38,139.025,151.79
SKU025,139.695,139.325,145.92,141.515
SKU026,150.32,149.62,149.95,144.62
SKU027,133.885,136.72,144.595,155.77
SKU028,147.605,138.205,140.315,148.94
SKU029,144.575,132.31,128.115,137.555
SKU030,145.77,129.25,145.015,148.2
SKU031,145.515,137.165,150.51,148.26
SKU032,132.42,130.065,127.845,136.62
SKU033,139.015,132.095,123.12,135.35
SKU034,132.25,145.125,143.85,146.62
SKU035,134.25,144.65,132.9,148.73
SKU036,138.705,129.475,133.115,145.1
SKU037,143.66,138.195,134.44,137.175
SKU038,144.73,133.405,140.86,123.005
SKU039,142.505,141.56,141.35,145.73
SKU040,137.065,140.595,135.315,140.155
SKU041,135.43,141.665,121.97,144.22
SKU042,131.07,128.12,129.825,137.1
SKU043,144.185,138.74,124.365,155.02
SKU044,132.605,138.47,140.3,155.905
SKU045,132.17,126.22,129.195,135.885
SKU046,147.815,134.835,131.18,156.83
SKU047,127.57,137.37,143.625,133.19
SKU048,133.5,125.905,137.685,139.88
SKU049,142.86,144.91,134.18,146.545
SKU050,133.09,132.47,147.955,137.7
SKU051,132.44,153.08,137.33,145.72
SKU052,146.295,142.77,154.27,141.85
SKU053,148.335,135.93,133.3,146.195
SKU054,140.995,130.345,137.28,149.435
SKU055,152.405,147.42,139.94,140.05
SKU056,138.2,144.4,151.585,135.945
SKU057,142.765,122.14,140.04,151.755
SKU058,153.075,130.37,143.09,150.45
SKU059,136.8,153.175,133.075,143.71
SKU060,132.525,132.865,132.93,138.7
SKU061,129.03,140.995,130.54,146.86
SKU062,134.505,140.12,141.465,139.725
SKU063,146.49,145.02,139.375,140.525
SKU064,135.465,133.685,131.74,138.0
SKU065,148.785,136.7,134.675,151.65
SKU066,139.455,129.575,134.07,142.28
SKU067,136.97,143.22,133.495,149.75
SKU068,146.69,139.645,143.625,149.335
SKU069,137.195,132.26,130.79,145.44
SKU070,130.715,131.995,129.16,141.705
SKU071,132.65,134.335,136.13,136.06
SKU072,138.665,145.565,146.47,137.895
SKU073,136.85,143.32,137.925,154.05
SKU074,142.155,125.64,137.86,150.57
SKU075,134.395,134.735,132.12,148.475
SKU076,140.765,142.945,143.74,141.97
SKU077,134.37,138.465,129.09,138.91
SKU078,141.185,120.66,136.4,140.205
SKU079,134.235,143.715,135.665,148.87
SKU080,141.315,130.51,142.19,154.785
SKU081,132.595,137.42,139.2,163.79
SKU082,151.715,128.055,134.15,143.68
SKU083,141.38,131.12,129.285,143.77
SKU084,134.075,134.2,127.59,140.325
SKU085,143.245,137.48,138.91,152.25
SKU086,139.425,139.775,137.645,160.275
SKU087,134.145,142.675,131.995,139.645
SKU088,141.745,144.215,144.13,142.0
SKU089,145.54,141.11,142.88,141.705
SKU090,148.985,138.25,144.84,135.62
SKU091,132.8,132.82,127.27,141.435
SKU092,142.985,144.7,136.94,143.73
SKU093,133.61,131.995,131.445,141.68
SKU094,131.525,136.12,132.025,151.585
SKU095,141.435,126.89,135.62,135.06
SKU096,145.01,143.325,137.235,149.4
SKU097,149.005,135.46,135.645,141.675
SKU098,146.68,142.28,135.25,151.57
SKU099,147.145,138.225,139.865,153.115
SKU100,125.265,141.845,132.465,141.215
SKU101,133.32,135.775,147.235,144.3
SKU102,152.435,138.71,145.11,126.955
